,50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
20,,,,,,,,,,,,,1.373612,,,,,,,,,,,,,b04f9f33-0a8a-4b1d-8926-00b34f8cff86,47,,"[83.0, 6.0]",18244,0,,,2.0899425,,,Right Foot,,,,"[71.0, 27.0]",,Ground Pass,24.186773,,Miralem Pjanić,6947.0,,,,1,From Throw In,Mario Mandžukić,5472.0,Left Wing,3,Juventus,224,['91d9ec2b-2b7b-4e1a-b3e4-1b81e1987775'],43,,,,,,,,,,,,,,,,Juventus,224,00:00:43.877,Pass,
21,,,,,,,,,,,,,1.304701,,,,,,,,,,,,,785232da-6a8c-45c4-a4d9-ad3c86dc3260,50,,"[71.0, 27.0]",18244,0,,,-1.5152978,,,Right Foot,,,,"[72.0, 9.0]",,Ground Pass,18.027756,,Sami Khedira,5566.0,,,,1,From Throw In,Miralem Pjanić,6947.0,Right Defensive Midfield,3,Juventus,224,['916f2e67-e8b0-42c7-ac58-afcc5bf6a562'],46,,,,,,,,,,,,,,,,Juventus,224,00:00:46.777,Pass,
22,,,,,,,,,,,,,0.970951,,,,,,,,,,,,,919d6e85-82bf-4ec1-921f-e9d26ace857f,52,,"[72.0, 9.0]",18244,0,,,-0.32175055,,,Right Foot,,,,"[87.0, 4.0]",,Ground Pass,15.811388,,Mario Mandžukić,5472.0,,,,1,From Throw In,Sami Khedira,5566.0,Left Defensive Midfield,3,Juventus,224,['adcfa3d4-b131-4fda-a592-296557b28530'],48,,,,,,,,,,,,,,,,Juventus,224,00:00:48.082,Pass,
23,,,,,,,,,,,,,1.516421,,,,,,,,,,,,,eb342893-dffc-45ae-bc6c-ea9480ba1168,55,,"[106.0, 4.0]",18244,0,,,1.5707964,,,Left Foot,,,,"[106.0, 27.0]",,Ground Pass,23.0,Incomplete,,,,,,1,From Throw In,Mario Mandžukić,5472.0,Left Wing,3,Juventus,224,['3a17c781-6513-4554-bd20-878713228eb0'],52,,,,,,,,,,,,,,,,Juventus,224,00:00:52.239,Pass,
24,,,,,,,,,,,,,1.530308,,,,,,,,,,,,,3a17c781-6513-4554-bd20-878713228eb0,56,,"[15.0, 54.0]",18244,0,,,0.9272952,,,Right Foot,,,,"[21.0, 62.0]",,Ground Pass,10.0,,Luka Modrić,5463.0,,,Recovery,1,Regular Play,Toni Kroos,5574.0,Right Center Midfield,4,Real Madrid,220,"['51f5d2cb-220e-4f6c-8972-99f708c2d741', 'eb342893-dffc-45ae-bc6c-ea9480ba1168']",53,,,,,,,,,,,,,,,,Real Madrid,220,00:00:53.755,Pass,
25,,,,,,,,,,,,,1.507216,,,,,,,,,,,,,aa3b43bb-53f4-4029-9729-313758fbf31a,65,,"[27.0, 56.0]",18244,1,True,,0.4636476,,,Right Foot,,,,"[41.0, 63.0]",,Ground Pass,15.652476,,Luka Modrić,5463.0,,,Free Kick,1,From Free Kick,Raphaël Varane,5485.0,Right Center Back,5,Real Madrid,220,['c1da66bd-5583-44c7-8928-0dea15621e8e'],20,,,,,,,,,,,,,,,,Real Madrid,220,00:01:20.359,Pass,
26,,,,,,,,,,,,,2.723734,,,,,,,,,,,,,fd4f8c6e-181a-408c-94e5-82b7fb69c08b,67,,"[43.0, 64.0]",18244,1,,,-0.45545107,,,Right Foot,,,,"[92.0, 40.0]",,High Pass,54.56189,Unknown,,,,,,1,From Free Kick,Luka Modrić,5463.0,Left Center Midfield,5,Real Madrid,220,,23,,,,,,,,,,,,,,,,Real Madrid,220,00:01:23.505,Pass,
27,,,,,,,,,,,,,1.108706,,,,,,,,,,,,,36eed21b-30bc-4a88-908c-0d2941b39d47,70,,"[27.0, 40.0]",18244,1,,,-0.11065722,,,Right Foot,,,,"[36.0, 39.0]",,Ground Pass,9.055386,,Sami Khedira,5566.0,,,Free Kick,1,From Free Kick,Leonardo Bonucci,7173.0,Right Center Back,6,Juventus,224,['cce174c6-1227-403c-9d08-0890cf007131'],36,,,,,,,,,,,,,,,,Juventus,224,00:01:36.491,Pass,
28,,,,,,,,,,,,,1.703499,,,,,,,,,,,,,f9c3ce31-b156-4837-9dc4-1e889f6fa47d,73,,"[36.0, 39.0]",18244,1,,,-1.5707964,,,Right Foot,,,,"[36.0, 21.0]",,Ground Pass,18.0,,Giorgio Chiellini,6954.0,,,,1,From Free Kick,Sami Khedira,5566.0,Left Defensive Midfield,6,Juventus,224,['7634608e-acf7-425d-b2f7-1c5f5d6976a4'],38,,,,,,,,,,,,,,,,Juventus,224,00:01:38.950,Pass,
29,,,,,,,,,,,,,0.760544,,,,,,,,,,,,,1b9b33ab-74c8-465e-93c1-72b9dd1dcc39,77,,"[36.0, 15.0]",18244,1,,,-0.7853982,,,Left Foot,,,,"[44.0, 7.0]",,Ground Pass,11.313708,,Alex Sandro Lobo Silva,6945.0,,,,1,From Free Kick,Giorgio Chiellini,6954.0,Left Center Back,6,Juventus,224,"['427f5a1a-3870-462e-aa81-e91177c1bad5', 'c43e002e-eabf-40dc-ab23-99ee70c70ef8']",41,,,,,,,,,,,,,,,,Juventus,224,00:01:41.608,Pass,True
30,,,,,,,,,,,,,0.875265,,,,,,,,,,,,,6c44ec79-c304-4727-b80d-b280c8adf74b,81,,"[43.0, 5.0]",18244,1,,,1.2490457,,,Left Foot,,,,"[47.0, 17.0]",,Ground Pass,12.649111,,Sami Khedira,5566.0,,,,1,From Free Kick,Alex Sandro Lobo Silva,6945.0,Left Back,6,Juventus,224,"['a2dc9257-a974-4cd3-8fdb-a27a41b1604f', 'b7137dfa-1245-4cd6-b0c3-a23f13c0f61c']",42,,,,,,,,,,,,,,,,Juventus,224,00:01:42.719,Pass,True
31,,,,,,,,,,,,,0.9417,,,,,,,,,,,,,53199a15-5607-4091-9f91-15a40c1837c2,84,,"[47.0, 17.0]",18244,1,,,-0.5667292,,,Right Foot,,,,"[58.0, 10.0]",,Ground Pass,13.038404,,Mario Mandžukić,5472.0,,,,1,From Free Kick,Sami Khedira,5566.0,Left Defensive Midfield,6,Juventus,224,['2cddfb94-e255-4383-80db-66bfe88ec8aa'],43,,,,,,,,,,,,,,,,Juventus,224,00:01:43.635,Pass,
32,,,,,,,,,,,,,0.6458,,,,,,,,,,,,,140f9c9c-4aa9-4b47-954a-ae0d91714563,87,,"[58.0, 10.0]",18244,1,,,2.9441972,,,Right Foot,,,,"[53.0, 11.0]",,Ground Pass,5.0990195,,Sami Khedira,5566.0,,,,1,From Free Kick,Mario Mandžukić,5472.0,Left Wing,6,Juventus,224,['8066463b-c316-4429-82eb-97bbabfa6e2b'],44,,,,,,,,,,,,,,,,Juventus,224,00:01:44.616,Pass,
33,,,,,,,,,,,,,0.235,,,,,,,,,,,,,601eb9a7-cddb-4cb8-86c4-054a85fbf88c,90,,"[54.0, 11.0]",18244,1,,,-0.14189705,,,Right Foot,,,,"[61.0, 10.0]",,Ground Pass,7.071068,,Mario Mandžukić,5472.0,,,,1,From Free Kick,Sami Khedira,5566.0,Left Defensive Midfield,6,Juventus,224,['36a12379-f12b-489c-809d-470b528b53ec'],45,,,,,,,,,,,,,,,,Juventus,224,00:01:45.322,Pass,
34,,,,,,,,,,,,,0.5688,,,,,,,,,,,,,97fff1a6-9a4b-4d3a-9679-ddce262719b5,94,,"[48.0, 70.0]",18244,1,,,-0.5070985,,,Right Foot,,,,"[57.0, 65.0]",,Ground Pass,10.29563,,Toni Kroos,5574.0,,,Recovery,1,Regular Play,Raphaël Varane,5485.0,Right Center Back,7,Real Madrid,220,['bd0ae4c4-a312-48e7-b47b-773170a1b435'],47,,,,,,,,,,,,,,,,Real Madrid,220,00:01:47.123,Pass,
35,,,,,,,,,,,,,1.930741,,,,,,,,,,,,,dcc0e73d-0588-4614-9e41-dc391cb4bdf9,97,,"[57.0, 65.0]",18244,1,,,1.19029,,,Right Foot,,,,"[61.0, 75.0]",,Ground Pass,10.770329,,Luka Modrić,5463.0,,,,1,Regular Play,Toni Kroos,5574.0,Right Center Midfield,7,Real Madrid,220,['bd98d015-b9ec-41a5-a41d-e8eb2201f199'],47,,,,,,,,,,,,,,,,Real Madrid,220,00:01:47.732,Pass,
36,,,,,,,,,,,,,0.928488,,,,,,,,,,,,,1a4afe91-d87d-4df2-b40b-81d82f72dae0,101,,"[60.0, 77.0]",18244,1,,,3.1415927,,,Right Foot,,,,"[54.0, 77.0]",,Ground Pass,6.0,,Daniel Carvajal Ramos,5721.0,,,,1,Regular Play,Luka Modrić,5463.0,Left Center Midfield,7,Real Madrid,220,"['8cad8582-9f76-4dd1-a28d-ed548145d494', 'd931f72a-cb67-4a2c-bd5f-095dd46c957f']",50,,,,,,,,,,,,,,,,Real Madrid,220,00:01:50.411,Pass,True
37,,,,,,,,,,,,,2.454385,,,,,,,,,,,,,d5724459-e4ef-4751-add0-53a03df0aff8,104,,"[54.0, 77.0]",18244,1,,,-2.0142446,,,Right Foot,,,,"[35.0, 37.0]",,Ground Pass,44.28318,,Sergio Ramos García,5201.0,,True,,1,Regular Play,Daniel Carvajal Ramos,5721.0,Right Back,7,Real Madrid,220,['7ef39058-256c-4207-bdb0-691462705e8f'],52,,,,,,,,,,,,,,,,Real Madrid,220,00:01:52.185,Pass,
38,,,,,,,,,,,,,1.724572,,,,,,,,,,,,,fd6f63a2-3f3b-4c32-8860-e5c6eae71f87,107,,"[36.0, 36.0]",18244,1,,,-1.1659045,,,Right Foot,,,,"[48.0, 8.0]",,Ground Pass,30.463093,,Marcelo Vieira da Silva Júnior,5552.0,,,,1,Regular Play,Sergio Ramos García,5201.0,Left Center Back,7,Real Madrid,220,['09129a5a-7054-4666-9a56-f26e6a25d5dc'],55,,,,,,,,,,,,,,,,Real Madrid,220,00:01:55.279,Pass,
39,,,,,,,,,,,,,1.320277,,,,,,,,,,,,,2a683e0e-f988-401e-980a-c5fdfa47fce8,110,,"[56.0, 7.0]",18244,1,,,1.1722739,,,Left Foot,,,,"[64.0, 26.0]",,Ground Pass,20.615528,,Francisco Román Alarcón Suárez,4926.0,,,,1,Regular Play,Marcelo Vieira da Silva Júnior,5552.0,Left Back,7,Real Madrid,220,['36406432-5e4c-45fa-b057-fb36fb00bed7'],59,,,,,,,,,,,,,,,,Real Madrid,220,00:01:59.954,Pass,
40,,,,,,,,,,,,,1.249548,,,,,,,,,,,,,b6dbd748-b91a-488a-811e-b83513685fb7,113,,"[67.0, 14.0]",18244,2,,,-2.070143,,,Right Foot,,,,"[61.0, 3.0]",,Ground Pass,12.529964,,Marcelo Vieira da Silva Júnior,5552.0,,,,1,Regular Play,Francisco Román Alarcón Suárez,4926.0,Center Attacking Midfield,7,Real Madrid,220,['6fe35ae5-77ef-4f67-8e01-0671dc53fcbe'],3,,,,,,,,,,,,,,,,Real Madrid,220,00:02:03.927,Pass,
41,,,,,,,,,,,,,1.497497,,,,,,,,,,,,,22be4df9-c33b-46c9-9a44-988d1704539e,116,,"[61.0, 3.0]",18244,2,,,0.0,,,Left Foot,,,,"[71.0, 3.0]",,Ground Pass,10.0,,Karim Benzema,19677.0,,,,1,Regular Play,Marcelo Vieira da Silva Júnior,5552.0,Left Back,7,Real Madrid,220,['9a022f29-b3ae-4458-a407-4904322cb04d'],5,,,,,,,,,,,,,,,,Real Madrid,220,00:02:05.475,Pass,
42,,,,,,,,,,,,,2.169039,,,,,,,,,,,,,e6dbd18f-cdfe-45b3-adad-e1f6d0250949,124,,"[38.0, 75.0]",18244,2,,,0.07393904,,,Right Foot,,,,"[65.0, 77.0]",,Ground Pass,27.073973,Incomplete,Paulo Bruno Exequiel Dybala,5743.0,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Wing,8,Juventus,224,"['940d815d-829e-46ba-b82d-ad3f695d44d4', 'ad8ac0ea-413c-4a35-aa28-84f599dced30']",13,,,,,,,,,,,,,,,,Juventus,224,00:02:13.847,Pass,
